start time = Fri Nov 22 08:15:58 2019
Source: file:///fsx/files/
Dest:   ftp://172.31.21.192:50505/home/ubuntu/
  large_file_0  ->  large_file

  10746855424 bytes       107.49 MB/sec avg       107.00 MB/sec inst
  10863247360 bytes       107.53 MB/sec avg       111.00 MB/sec inst
  10979639296 bytes       107.56 MB/sec avg       111.00 MB/sec inst
  11097079808 bytes       107.61 MB/sec avg       112.00 MB/sec inst
  11213471744 bytes       107.64 MB/sec avg       111.00 MB/sec inst
  11329863680 bytes       107.68 MB/sec avg       111.00 MB/sec inst
  11448352768 bytes       107.62 MB/sec avg       102.73 MB/sec inst
  11564744704 bytes       107.66 MB/sec avg       111.00 MB/sec inst
  11682185216 bytes       107.70 MB/sec avg       112.00 MB/sec inst
  11800674304 bytes       107.75 MB/sec avg       113.00 MB/sec inst
  11919163392 bytes       107.80 MB/sec avg       113.00 MB/sec inst
  12036603904 bytes       107.84 MB/sec avg       112.00 MB/sec inst
  12152995840 bytes       107.87 MB/sec avg       111.00 MB/sec inst
  12270436352 bytes       107.91 MB/sec avg       112.00 MB/sec inst
  12386828288 bytes       107.93 MB/sec avg       111.00 MB/sec inst
  12503220224 bytes       107.96 MB/sec avg       111.00 MB/sec inst
  12621709312 bytes       108.01 MB/sec avg       113.00 MB/sec inst
  12738101248 bytes       108.03 MB/sec avg       111.00 MB/sec inst
  12855541760 bytes       108.07 MB/sec avg       112.00 MB/sec inst
  12972982272 bytes       108.01 MB/sec avg       101.82 MB/sec inst
  13091471360 bytes       108.05 MB/sec avg       113.00 MB/sec inst
  13209960448 bytes       108.09 MB/sec avg       113.00 MB/sec inst
  13327400960 bytes       108.13 MB/sec avg       112.00 MB/sec inst
  13445890048 bytes       108.17 MB/sec avg       113.00 MB/sec inst
  13562281984 bytes       108.19 MB/sec avg       111.00 MB/sec inst
  13678673920 bytes       108.22 MB/sec avg       111.00 MB/sec inst
  13798211584 bytes       108.26 MB/sec avg       114.00 MB/sec inst
  13913554944 bytes       108.28 MB/sec avg       110.00 MB/sec inst
  14027849728 bytes       108.28 MB/sec avg       109.00 MB/sec inst
  14149484544 bytes       108.34 MB/sec avg       116.00 MB/sec inst
  14264827904 bytes       108.36 MB/sec avg       110.00 MB/sec inst
  14381219840 bytes       108.38 MB/sec avg       111.00 MB/sec inst
  14495514624 bytes       108.38 MB/sec avg       109.00 MB/sec inst
  14611906560 bytes       108.40 MB/sec avg       111.00 MB/sec inst
  14730395648 bytes       108.36 MB/sec avg       102.73 MB/sec inst
  14846787584 bytes       108.38 MB/sec avg       111.00 MB/sec inst
  14965276672 bytes       108.41 MB/sec avg       113.00 MB/sec inst
  15084814336 bytes       108.45 MB/sec avg       114.00 MB/sec inst
  15201206272 bytes       108.47 MB/sec avg       111.00 MB/sec inst
  15319695360 bytes       108.51 MB/sec avg       113.00 MB/sec inst
  15435038720 bytes       108.52 MB/sec avg       110.00 MB/sec inst
  15551430656 bytes       108.54 MB/sec avg       111.00 MB/sec inst
  15669919744 bytes       108.57 MB/sec avg       113.00 MB/sec inst
  15784214528 bytes       108.57 MB/sec avg       109.00 MB/sec inst
  15902703616 bytes       108.60 MB/sec avg       113.00 MB/sec inst
  16019095552 bytes       108.62 MB/sec avg       111.00 MB/sec inst
  16134438912 bytes       108.55 MB/sec avg       100.00 MB/sec inst
  16248733696 bytes       108.56 MB/sec avg       109.00 MB/sec inst
  16366174208 bytes       108.58 MB/sec avg       112.00 MB/sec inst
  16483614720 bytes       108.60 MB/sec avg       112.00 MB/sec inst
  16598958080 bytes       108.61 MB/sec avg       110.00 MB/sec inst
  16718495744 bytes       108.65 MB/sec avg       114.00 MB/sec inst
  16835936256 bytes       108.67 MB/sec avg       112.00 MB/sec inst
  16950231040 bytes       108.67 MB/sec avg       109.00 MB/sec inst
  17065574400 bytes       108.68 MB/sec avg       110.00 MB/sec inst
  17176723456 bytes       108.67 MB/sec avg       106.00 MB/sec inst
  17295212544 bytes       108.69 MB/sec avg       113.00 MB/sec inst
  17415798784 bytes       108.66 MB/sec avg       104.55 MB/sec inst
  17533239296 bytes       108.69 MB/sec avg       112.00 MB/sec inst
  17649631232 bytes       108.70 MB/sec avg       111.00 MB/sec inst
  17767071744 bytes       108.72 MB/sec avg       112.00 MB/sec inst
  17885560832 bytes       108.75 MB/sec avg       113.00 MB/sec inst
  18003001344 bytes       108.77 MB/sec avg       112.00 MB/sec inst
  18118344704 bytes       108.78 MB/sec avg       110.00 MB/sec inst
  18236833792 bytes       108.80 MB/sec avg       113.00 MB/sec inst
  18355322880 bytes       108.83 MB/sec avg       113.00 MB/sec inst
  18473811968 bytes       108.86 MB/sec avg       113.00 MB/sec inst
  18592301056 bytes       108.88 MB/sec avg       113.00 MB/sec inst
  18708692992 bytes       108.83 MB/sec avg       100.91 MB/sec inst
  18826133504 bytes       108.85 MB/sec avg       112.00 MB/sec inst
  18944622592 bytes       108.87 MB/sec avg       113.00 MB/sec inst
  19062063104 bytes       108.89 MB/sec avg       112.00 MB/sec inst
  19179503616 bytes       108.91 MB/sec avg       112.00 MB/sec inst
  19295895552 bytes       108.92 MB/sec avg       111.00 MB/sec inst
  19412287488 bytes       108.93 MB/sec avg       111.00 MB/sec inst
  19531825152 bytes       108.96 MB/sec avg       114.00 MB/sec inst
  19646119936 bytes       108.96 MB/sec avg       109.00 MB/sec inst
  19764609024 bytes       108.99 MB/sec avg       113.00 MB/sec inst
  19883098112 bytes       108.95 MB/sec avg       102.73 MB/sec inst
  20000538624 bytes       108.97 MB/sec avg       112.00 MB/sec inst
  20117979136 bytes       108.98 MB/sec avg       112.00 MB/sec inst
  20230176768 bytes       108.97 MB/sec avg       107.00 MB/sec inst
  20349714432 bytes       109.00 MB/sec avg       114.00 MB/sec inst
  20460863488 bytes       108.98 MB/sec avg       106.00 MB/sec inst
  20580401152 bytes       109.01 MB/sec avg       114.00 MB/sec inst
  20694695936 bytes       109.01 MB/sec avg       109.00 MB/sec inst
  20812136448 bytes       109.03 MB/sec avg       112.00 MB/sec inst
  20931674112 bytes       109.05 MB/sec avg       114.00 MB/sec inst
  21047017472 bytes       109.06 MB/sec avg       110.00 MB/sec inst
  21164457984 bytes       109.08 MB/sec avg       112.00 MB/sec inst
  21281898496 bytes       109.09 MB/sec avg       112.00 MB/sec inst
  21397241856 bytes       109.10 MB/sec avg       110.00 MB/sec inst
  21512585216 bytes       109.10 MB/sec avg       110.00 MB/sec inst
  21632122880 bytes       109.07 MB/sec avg       103.64 MB/sec inst
  21746417664 bytes       109.07 MB/sec avg       109.00 MB/sec inst
  21864906752 bytes       109.09 MB/sec avg       113.00 MB/sec inst
  21981298688 bytes       109.10 MB/sec avg       111.00 MB/sec inst
  22097690624 bytes       109.11 MB/sec avg       111.00 MB/sec inst
  22214082560 bytes       109.12 MB/sec avg       111.00 MB/sec inst
  22333620224 bytes       109.14 MB/sec avg       114.00 MB/sec inst
  22450012160 bytes       109.15 MB/sec avg       111.00 MB/sec inst



end time = Fri Nov 22 08:19:33 2019
total time = 215

start time = Fri Nov 22 20:37:22 2019
Source: file:///fsx/files/
Dest:   ftp://172.31.21.192:50505/home/ubuntu/
  large_file_0  ->  large_file

      1048576 bytes         0.37 MB/sec avg         0.37 MB/sec inst
     97517568 bytes        25.22 MB/sec avg        92.00 MB/sec inst
    203423744 bytes        41.39 MB/sec avg       101.00 MB/sec inst
    319815680 bytes        53.62 MB/sec avg       111.00 MB/sec inst
    434110464 bytes        61.90 MB/sec avg       109.00 MB/sec inst
    549453824 bytes        68.16 MB/sec avg       110.00 MB/sec inst
    664797184 bytes        72.98 MB/sec avg       110.00 MB/sec inst
    779091968 bytes        76.70 MB/sec avg       109.00 MB/sec inst
    897581056 bytes        80.09 MB/sec avg       113.00 MB/sec inst
   1015021568 bytes        82.12 MB/sec avg       101.82 MB/sec inst
   1132462080 bytes        84.46 MB/sec avg       112.00 MB/sec inst
   1247805440 bytes        86.31 MB/sec avg       110.00 MB/sec inst
   1365245952 bytes        88.05 MB/sec avg       112.00 MB/sec inst
   1482686464 bytes        89.56 MB/sec avg       112.00 MB/sec inst
   1598029824 bytes        90.78 MB/sec avg       110.00 MB/sec inst
   1714421760 bytes        91.92 MB/sec avg       111.00 MB/sec inst
   1830813696 bytes        92.93 MB/sec avg       111.00 MB/sec inst
   1947205632 bytes        93.85 MB/sec avg       111.00 MB/sec inst
